id;type;label;S1;S2;S3
70;ORIENTATION;EMPTY;train;train;test
71;ORIENTATION;EMPTY;train;train;test
72;ORIENTATION;EMPTY;train;train;test
73;ORIENTATION;EMPTY;valid;train;test
74;ORIENTATION;ARROW_RIGHT;test;train;train
75;ORIENTATION;EMPTY;train;train;test
76;ORIENTATION;EMPTY;train;train;test
77;ORIENTATION;EMPTY;train;valid;test
78;ORIENTATION;EMPTY;valid;train;test
79;ORIENTATION;EMPTY;train;train;test
80;ORIENTATION;EMPTY;train;valid;test
81;ORIENTATION;ARROW_LEFT;test;train;test
82;ORIENTATION;EMPTY;valid;valid;train
83;ORIENTATION;EMPTY;train;train;test
84;ORIENTATION;EMPTY;train;train;test
85;ORIENTATION;EMPTY;valid;train;test
86;ORIENTATION;EMPTY;train;train;test
87;ORIENTATION;EMPTY;train;train;test
88;ORIENTATION;EMPTY;valid;train;test
89;ORIENTATION;EMPTY;train;train;test
90;ORIENTATION;EMPTY;train;train;test
91;ORIENTATION;EMPTY;train;train;test
92;ORIENTATION;EMPTY;valid;train;test
93;ORIENTATION;EMPTY;train;valid;test
94;ORIENTATION;EMPTY;train;train;test
95;ORIENTATION;ARROW_UP;test;train;train
96;COMMAND;MINUS_ONE;test;train;test
97;COMMAND;TURN_LEFT;test;train;test
98;COMMAND;EMPTY;valid;valid;test
99;ORIENTATION;EMPTY;train;train;test
100;ORIENTATION;EMPTY;train;train;test
101;ORIENTATION;EMPTY;train;train;train
102;ORIENTATION;EMPTY;train;train;test
103;ORIENTATION;EMPTY;train;train;test
104;ORIENTATION;EMPTY;valid;train;train
105;COMMAND;TURN_RIGHT;test;train;test
106;COMMAND;PLUS_ONE;test;train;train
107;COMMAND;PLUS_ONE;test;train;test
108;COMMAND;TURN_LEFT;test;valid;test
109;COMMAND;TURN_RIGHT;test;train;test
110;COMMAND;PLUS_ONE;test;train;train
111;COMMAND;TURN_LEFT;test;train;test
112;COMMAND;PLUS_ONE;test;train;valid
113;COMMAND;TURN_LEFT;test;train;test
114;COMMAND;PLUS_ONE;test;train;test
115;COMMAND;TURN_RIGHT;test;train;test
116;COMMAND;MINUS_ONE;test;train;train
117;COMMAND;TURN_LEFT;test;train;test
118;COMMAND;TURN_LEFT;test;train;train
119;COMMAND;PLUS_ONE;test;train;test
120;COMMAND;TURN_RIGHT;test;train;test
121;COMMAND;PLUS_ONE;test;train;valid
122;COMMAND;TURN_RIGHT;test;valid;test
123;COMMAND;PLUS_ONE;test;valid;test
124;COMMAND;TURN_LEFT;test;train;test
125;COMMAND;MINUS_ONE;test;train;test
126;COMMAND;TURN_LEFT;test;train;valid
127;COMMAND;PLUS_ONE;test;train;valid
128;COMMAND;TURN_RIGHT;test;train;test
129;COMMAND;TURN_LEFT;test;train;test
130;COMMAND;PLUS_ONE;test;valid;test
131;COMMAND;TURN_RIGHT;test;train;test
132;COMMAND;TURN_RIGHT;test;train;train
133;ORIENTATION;EMPTY;train;train;test
134;ORIENTATION;EMPTY;train;valid;test
135;ORIENTATION;EMPTY;train;train;test
136;ORIENTATION;EMPTY;train;train;test
137;ORIENTATION;ARROW_RIGHT;test;train;train
138;ORIENTATION;EMPTY;valid;train;test
139;ORIENTATION;EMPTY;train;valid;test
140;ORIENTATION;EMPTY;train;train;test
141;ORIENTATION;EMPTY;train;train;test
142;ORIENTATION;EMPTY;train;train;test
143;ORIENTATION;EMPTY;train;train;test
144;ORIENTATION;EMPTY;train;train;test
145;ORIENTATION;EMPTY;train;train;test
146;ORIENTATION;EMPTY;train;valid;test
147;ORIENTATION;EMPTY;valid;train;test
148;ORIENTATION;EMPTY;train;train;test
149;ORIENTATION;EMPTY;train;valid;test
150;ORIENTATION;EMPTY;train;train;test
151;ORIENTATION;EMPTY;train;train;test
152;ORIENTATION;EMPTY;train;train;test
153;ORIENTATION;ARROW_RIGHT;test;train;test
154;ORIENTATION;EMPTY;train;train;train
155;ORIENTATION;EMPTY;train;train;test
156;ORIENTATION;EMPTY;train;train;test
157;ORIENTATION;EMPTY;train;valid;test
158;ORIENTATION;EMPTY;train;train;test
159;ORIENTATION;EMPTY;train;train;test
160;ORIENTATION;EMPTY;train;train;valid
161;ORIENTATION;EMPTY;train;train;test
162;ORIENTATION;EMPTY;train;train;test
163;ORIENTATION;EMPTY;train;train;test
164;ORIENTATION;EMPTY;train;train;test
165;ORIENTATION;EMPTY;train;train;test
166;ORIENTATION;EMPTY;valid;train;test
167;ORIENTATION;EMPTY;train;train;test
168;ORIENTATION;EMPTY;train;train;train
169;ORIENTATION;EMPTY;train;train;train
170;ORIENTATION;EMPTY;valid;train;test
171;ORIENTATION;EMPTY;train;train;train
172;ORIENTATION;EMPTY;train;valid;test
173;ORIENTATION;EMPTY;train;train;test
174;ORIENTATION;EMPTY;train;valid;test
175;ORIENTATION;EMPTY;train;valid;test
176;ORIENTATION;EMPTY;train;train;test
177;ORIENTATION;EMPTY;train;train;test
178;ORIENTATION;EMPTY;train;train;test
179;ORIENTATION;EMPTY;train;train;test
180;ORIENTATION;EMPTY;valid;train;test
181;ORIENTATION;EMPTY;train;train;test
182;ORIENTATION;EMPTY;train;train;test
183;ORIENTATION;EMPTY;train;train;test
184;ORIENTATION;EMPTY;train;valid;test
185;CROSS;EMPTY;train;train;valid
186;CROSS;EMPTY;valid;train;train
187;CROSS;CHECKED;test;train;train
188;CROSS;EMPTY;train;train;test
189;CROSS;CHECKED;test;train;train
190;CROSS;CHECKED;test;train;test
191;COMMAND;TURN_RIGHT;test;train;train
192;COMMAND;MINUS_ONE;test;train;test
193;CROSS;EMPTY;train;train;train
194;CROSS;CHECKED;test;train;train
195;CROSS;EMPTY;train;train;train
196;CROSS;EMPTY;train;valid;test
197;CROSS;EMPTY;train;train;train
198;CROSS;EMPTY;train;train;test
199;CROSS;EMPTY;valid;train;train
200;CROSS;EMPTY;train;train;train
201;CROSS;EMPTY;train;train;train
202;CROSS;EMPTY;train;valid;train
203;COMMAND;TURN_RIGHT;test;valid;train
204;CROSS;CHECKED;test;train;train
205;CROSS;EMPTY;train;train;train
206;CROSS;EMPTY;train;train;test
207;CROSS;CHECKED;test;valid;train
208;CROSS;EMPTY;train;train;train
209;CROSS;EMPTY;train;train;test
210;CROSS;EMPTY;train;valid;train
211;CROSS;EMPTY;train;train;test
212;CROSS;EMPTY;train;train;train
213;CROSS;EMPTY;train;train;train
214;COMMAND;TURN_LEFT;test;train;valid
215;COMMAND;MINUS_ONE;test;train;valid
216;COMMAND;TURN_RIGHT;test;train;test
217;COMMAND;TURN_RIGHT;test;train;train
218;CROSS;EMPTY;train;train;test
219;CROSS;EMPTY;train;train;train
220;CROSS;CHECKED;test;train;valid
221;CROSS;CHECKED;test;train;train
222;CROSS;EMPTY;train;valid;train
223;CROSS;EMPTY;train;train;train
224;CROSS;EMPTY;train;valid;test
225;CROSS;CHECKED;test;train;train
233;CROSS;EMPTY;train;train;train
240;CROSS;CHECKED;test;train;train
241;CROSS;EMPTY;train;train;test
242;CROSS;EMPTY;train;valid;valid
243;CROSS;EMPTY;train;train;test
244;CROSS;CHECKED;test;valid;train
245;CROSS;EMPTY;train;valid;train
246;CROSS;EMPTY;train;train;test
247;COMMAND;PLUS_ONE;test;train;test
248;COMMAND;PLUS_ONE;test;train;train
249;COMMAND;MINUS_ONE;test;train;test
250;COMMAND;PLUS_ONE;test;train;test
251;COMMAND;PLUS_ONE;test;train;train
252;COMMAND;PLUS_ONE;test;train;train
253;COMMAND;MINUS_ONE;test;train;test
254;COMMAND;MINUS_ONE;test;valid;test
255;COMMAND;MINUS_ONE;test;valid;test
256;COMMAND;TURN_RIGHT;test;train;test
257;COMMAND;PLUS_ONE;test;train;test
258;COMMAND;PLUS_ONE;test;train;test
259;COMMAND;TURN_LEFT;test;train;train
260;COMMAND;MINUS_ONE;test;train;test
261;COMMAND;TURN_LEFT;test;valid;train
262;COMMAND;MINUS_ONE;test;train;test
263;COMMAND;MINUS_ONE;test;train;test
264;COMMAND;TURN_RIGHT;test;train;test
265;COMMAND;TURN_RIGHT;test;train;test
266;COMMAND;PLUS_ONE;test;train;train
267;COMMAND;TURN_LEFT;test;train;train
268;COMMAND;TURN_RIGHT;test;train;train
269;COMMAND;TURN_RIGHT;test;train;test
270;COMMAND;PLUS_ONE;test;valid;train
271;COMMAND;TURN_LEFT;test;train;train
272;COMMAND;PLUS_ONE;test;train;test
273;COMMAND;TURN_LEFT;test;train;test
274;COMMAND;PLUS_ONE;test;train;train
275;COMMAND;TURN_LEFT;test;valid;train
276;COMMAND;TURN_LEFT;test;train;train
277;COMMAND;MINUS_ONE;test;train;test
278;COMMAND;MINUS_ONE;test;train;train
279;COMMAND;EMPTY;train;train;test
280;COMMAND;TURN_LEFT;test;train;valid
281;COMMAND;PLUS_ONE;test;train;train
282;COMMAND;TURN_LEFT;test;train;test
283;COMMAND;PLUS_ONE;test;valid;train
284;COMMAND;TURN_LEFT;test;train;test
285;COMMAND;PLUS_ONE;test;train;valid
286;COMMAND;TURN_RIGHT;test;train;test
287;COMMAND;PLUS_ONE;test;train;test
288;COMMAND;TURN_LEFT;test;train;test
289;COMMAND;TURN_RIGHT;test;train;train
290;COMMAND;PLUS_ONE;test;valid;test
291;COMMAND;EMPTY;train;train;test
292;COMMAND;EMPTY;valid;train;test
293;COMMAND;PLUS_ONE;test;train;test
294;COMMAND;TURN_LEFT;test;train;train
295;COMMAND;PLUS_ONE;test;train;test
296;COMMAND;PLUS_ONE;test;train;test
297;COMMAND;EMPTY;train;train;test
298;COMMAND;EMPTY;valid;train;test
299;COMMAND;MINUS_ONE;test;valid;test
300;COMMAND;MINUS_ONE;test;train;train
301;COMMAND;MINUS_ONE;test;valid;train
302;COMMAND;TURN_LEFT;test;train;train
303;COMMAND;MINUS_ONE;test;train;test
304;COMMAND;MINUS_ONE;test;train;test
305;COMMAND;EMPTY;train;valid;test
306;COMMAND;TURN_LEFT;test;train;train
307;COMMAND;MINUS_ONE;test;train;train
308;COMMAND;MINUS_ONE;test;valid;test
309;COMMAND;TURN_LEFT;test;valid;test
310;COMMAND;TURN_LEFT;test;train;train
311;COMMAND;MINUS_ONE;test;train;train
312;COMMAND;EMPTY;train;train;test
313;COMMAND;EMPTY;train;valid;test
314;COMMAND;EMPTY;valid;train;test
315;COMMAND;EMPTY;valid;train;test
316;COMMAND;TURN_LEFT;test;train;train
317;COMMAND;MINUS_ONE;test;train;test
318;COMMAND;TURN_LEFT;test;train;test
319;COMMAND;MINUS_ONE;test;train;test
320;COMMAND;MINUS_ONE;test;train;test
321;COMMAND;MINUS_ONE;test;train;test
322;COMMAND;TURN_LEFT;test;train;train
323;COMMAND;MINUS_ONE;test;train;valid
324;COMMAND;EMPTY;train;train;test
325;COMMAND;EMPTY;train;train;test
326;COMMAND;MINUS_ONE;test;train;test
327;COMMAND;TURN_LEFT;test;train;test
328;COMMAND;MINUS_ONE;test;train;train
329;COMMAND;MINUS_ONE;test;valid;train
330;COMMAND;TURN_LEFT;test;train;train
331;COMMAND;MINUS_ONE;test;train;test
332;COMMAND;PLUS_ONE;test;train;test
333;COMMAND;MINUS_ONE;test;train;test
334;COMMAND;EMPTY;train;train;test
335;COMMAND;EMPTY;valid;train;test
336;COMMAND;PLUS_ONE;test;train;test
337;COMMAND;TURN_RIGHT;test;train;test
338;COMMAND;PLUS_ONE;test;train;test
339;COMMAND;PLUS_ONE;test;valid;test
340;COMMAND;PLUS_ONE;test;train;test
341;COMMAND;TURN_RIGHT;test;train;valid
342;COMMAND;PLUS_ONE;test;train;train
343;COMMAND;TURN_RIGHT;test;train;train
344;COMMAND;EMPTY;train;train;train
345;COMMAND;EMPTY;train;train;test
346;COMMAND;MINUS_ONE;test;train;valid
347;COMMAND;TURN_RIGHT;test;train;valid
348;COMMAND;MINUS_ONE;test;train;test
349;COMMAND;MINUS_ONE;test;train;train
350;COMMAND;MINUS_ONE;test;train;train
351;COMMAND;TURN_RIGHT;test;train;train
352;COMMAND;MINUS_ONE;test;train;train
353;COMMAND;EMPTY;train;train;test
354;COMMAND;PLUS_ONE;test;train;test
355;COMMAND;EMPTY;train;train;valid
356;COMMAND;TURN_LEFT;test;train;test
357;COMMAND;MINUS_ONE;test;train;test
358;COMMAND;TURN_LEFT;test;train;test
359;COMMAND;EMPTY;train;train;test
360;COMMAND;EMPTY;train;train;train
361;COMMAND;EMPTY;train;train;test
362;COMMAND;TURN_LEFT;test;train;train
363;COMMAND;MINUS_ONE;test;train;test
364;COMMAND;TURN_LEFT;test;valid;test
365;COMMAND;MINUS_ONE;test;train;train
366;COMMAND;TURN_LEFT;test;train;train
367;COMMAND;PLUS_ONE;test;valid;test
368;COMMAND;PLUS_ONE;test;train;test
369;COMMAND;PLUS_ONE;test;train;test
370;COMMAND;TURN_RIGHT;test;train;test
371;COMMAND;PLUS_ONE;test;train;train
372;COMMAND;TURN_LEFT;test;train;test
373;COMMAND;PLUS_ONE;test;train;test
374;COMMAND;EMPTY;valid;train;test
375;COMMAND;EMPTY;valid;train;test
376;COMMAND;MINUS_ONE;test;train;test
377;COMMAND;MINUS_ONE;test;train;test
378;COMMAND;TURN_LEFT;test;train;train
379;COMMAND;MINUS_ONE;test;train;test
380;COMMAND;PLUS_ONE;test;valid;test
381;COMMAND;MINUS_ONE;test;train;train
382;COMMAND;MINUS_ONE;test;train;test
383;COMMAND;TURN_LEFT;test;train;train
384;COMMAND;MINUS_ONE;test;train;test
385;COMMAND;MINUS_ONE;test;train;train
386;COMMAND;TURN_LEFT;test;valid;train
387;COMMAND;MINUS_ONE;test;train;test
388;COMMAND;EMPTY;train;train;test
389;COMMAND;EMPTY;train;train;test
390;COMMAND;PLUS_ONE;test;train;test
391;COMMAND;PLUS_ONE;test;train;test
392;COMMAND;TURN_RIGHT;test;valid;valid
393;COMMAND;PLUS_ONE;test;train;test
394;COMMAND;EMPTY;train;train;test
395;COMMAND;EMPTY;train;train;test
396;COMMAND;TURN_LEFT;test;train;train
397;COMMAND;TURN_LEFT;test;train;test
398;COMMAND;MINUS_ONE;test;train;train
399;COMMAND;EMPTY;train;train;test
400;COMMAND;TURN_RIGHT;test;valid;test
401;COMMAND;TURN_RIGHT;test;valid;test
402;COMMAND;MINUS_ONE;test;train;valid
403;COMMAND;TURN_LEFT;test;train;test
404;COMMAND;MINUS_ONE;test;train;test
405;COMMAND;EMPTY;valid;valid;train
406;COMMAND;MINUS_ONE;test;train;test
407;COMMAND;TURN_LEFT;test;train;train
408;COMMAND;MINUS_ONE;test;train;test
409;COMMAND;MINUS_ONE;test;train;test
410;COMMAND;MINUS_ONE;test;train;test
411;COMMAND;TURN_LEFT;test;train;test
412;COMMAND;MINUS_ONE;test;train;valid
413;COMMAND;TURN_LEFT;test;train;test
414;COMMAND;MINUS_ONE;test;train;test
415;COMMAND;TURN_RIGHT;test;train;test
416;COMMAND;MINUS_ONE;test;train;train
417;COMMAND;TURN_LEFT;test;train;test
418;COMMAND;MINUS_ONE;test;train;test
419;COMMAND;MINUS_ONE;test;valid;test
420;COMMAND;EMPTY;train;train;test
421;COMMAND;EMPTY;train;valid;test
422;COMMAND;TURN_LEFT;test;train;train
423;COMMAND;TURN_LEFT;test;valid;train
424;COMMAND;MINUS_ONE;test;train;valid
425;COMMAND;TURN_LEFT;test;valid;test
426;COMMAND;TURN_RIGHT;test;train;test
427;COMMAND;MINUS_ONE;test;train;train
428;COMMAND;MINUS_ONE;test;train;train
429;COMMAND;TURN_RIGHT;test;train;test
430;COMMAND;MINUS_ONE;test;train;train
431;COMMAND;EMPTY;train;train;test
432;COMMAND;EMPTY;valid;train;test
433;COMMAND;EMPTY;train;train;train
434;COMMAND;EMPTY;train;valid;test
435;COMMAND;EMPTY;valid;train;test
436;COMMAND;PLUS_ONE;test;train;train
437;COMMAND;TURN_RIGHT;test;train;test
438;COMMAND;MINUS_ONE;test;train;test
439;COMMAND;PLUS_ONE;test;train;test
440;COMMAND;TURN_RIGHT;test;train;test
441;COMMAND;MINUS_ONE;test;train;train
442;COMMAND;TURN_RIGHT;test;train;train
443;COMMAND;MINUS_ONE;test;train;valid
444;COMMAND;EMPTY;train;train;test
445;COMMAND;EMPTY;train;train;test
446;COMMAND;MINUS_ONE;test;train;test
447;COMMAND;TURN_RIGHT;test;train;train
448;COMMAND;PLUS_ONE;test;train;train
449;COMMAND;EMPTY;valid;train;test
450;COMMAND;PLUS_ONE;test;valid;test
451;COMMAND;TURN_RIGHT;test;train;test
452;COMMAND;MINUS_ONE;test;valid;train
453;COMMAND;EMPTY;train;train;test
454;COMMAND;EMPTY;train;train;test
455;COMMAND;EMPTY;train;train;test
456;COMMAND;TURN_RIGHT;test;train;test
457;COMMAND;MINUS_ONE;test;valid;train
458;COMMAND;TURN_RIGHT;test;train;train
459;COMMAND;PLUS_ONE;test;valid;test
460;COMMAND;EMPTY;train;train;test
461;COMMAND;PLUS_ONE;test;train;test
462;COMMAND;TURN_RIGHT;test;train;test
463;COMMAND;PLUS_ONE;test;train;test
464;COMMAND;EMPTY;train;train;test
465;COMMAND;EMPTY;train;train;test
466;COMMAND;EMPTY;train;train;test
467;COMMAND;EMPTY;valid;train;test
468;COMMAND;EMPTY;train;train;test
469;COMMAND;EMPTY;train;train;train
470;COMMAND;TURN_RIGHT;test;train;test
471;COMMAND;TURN_RIGHT;test;train;train
472;COMMAND;PLUS_ONE;test;train;valid
473;COMMAND;PLUS_ONE;test;train;test
474;COMMAND;TURN_RIGHT;test;train;train
475;COMMAND;MINUS_ONE;test;train;train
476;COMMAND;MINUS_ONE;test;valid;train
477;COMMAND;TURN_RIGHT;test;train;train
478;COMMAND;PLUS_ONE;test;train;test
479;COMMAND;EMPTY;valid;valid;test
480;COMMAND;EMPTY;train;valid;test
481;COMMAND;MINUS_ONE;test;train;test
482;COMMAND;TURN_RIGHT;test;valid;test
483;COMMAND;PLUS_ONE;test;valid;train
484;COMMAND;PLUS_ONE;test;train;valid
485;COMMAND;PLUS_ONE;test;train;test
486;COMMAND;TURN_RIGHT;test;train;test
487;COMMAND;MINUS_ONE;test;valid;test
488;COMMAND;MINUS_ONE;test;train;test
489;COMMAND;EMPTY;train;train;test
490;COMMAND;EMPTY;train;valid;test
491;COMMAND;PLUS_ONE;test;train;test
492;COMMAND;TURN_LEFT;test;train;train
493;COMMAND;MINUS_ONE;test;train;train
494;COMMAND;TURN_RIGHT;test;valid;train
495;COMMAND;MINUS_ONE;test;train;valid
496;COMMAND;MINUS_ONE;test;train;test
497;COMMAND;TURN_LEFT;test;train;test
498;COMMAND;PLUS_ONE;test;train;train
499;COMMAND;EMPTY;train;train;test
500;COMMAND;EMPTY;train;train;test
501;COMMAND;MINUS_ONE;test;train;train
502;COMMAND;TURN_LEFT;test;train;test
503;COMMAND;PLUS_ONE;test;train;test
504;COMMAND;PLUS_ONE;test;train;test
505;COMMAND;MINUS_ONE;test;train;test
506;COMMAND;PLUS_ONE;test;train;train
507;COMMAND;TURN_LEFT;test;valid;test
508;COMMAND;MINUS_ONE;test;train;test
509;COMMAND;EMPTY;train;train;test
510;COMMAND;EMPTY;train;train;test
511;COMMAND;EMPTY;train;train;test
512;COMMAND;EMPTY;train;train;train
513;COMMAND;EMPTY;train;valid;test
514;COMMAND;EMPTY;train;train;test
515;COMMAND;TURN_RIGHT;test;valid;train
516;COMMAND;PLUS_ONE;test;train;test
517;COMMAND;TURN_RIGHT;test;train;train
518;COMMAND;TURN_RIGHT;test;train;train
519;COMMAND;PLUS_ONE;test;train;test
520;COMMAND;TURN_RIGHT;test;train;test
521;COMMAND;PLUS_ONE;test;valid;test
522;COMMAND;TURN_RIGHT;test;train;test
523;COMMAND;PLUS_ONE;test;train;test
524;COMMAND;EMPTY;train;train;test
525;COMMAND;EMPTY;train;train;test
526;COMMAND;EMPTY;train;train;test
527;COMMAND;EMPTY;train;train;test
528;COMMAND;PLUS_ONE;test;valid;test
529;COMMAND;PLUS_ONE;test;train;train
530;COMMAND;PLUS_ONE;test;train;train
531;COMMAND;TURN_LEFT;test;train;test
532;COMMAND;PLUS_ONE;test;train;test
533;COMMAND;PLUS_ONE;test;valid;test
534;COMMAND;TURN_LEFT;test;train;train
535;COMMAND;PLUS_ONE;test;train;test
536;COMMAND;PLUS_ONE;test;train;train
537;COMMAND;TURN_LEFT;test;train;test
538;COMMAND;PLUS_ONE;test;valid;train
539;COMMAND;TURN_RIGHT;test;train;valid
540;COMMAND;MINUS_ONE;test;train;test
541;COMMAND;PLUS_ONE;test;train;train
542;COMMAND;PLUS_ONE;test;train;test
543;COMMAND;MINUS_ONE;test;train;test
544;COMMAND;TURN_RIGHT;test;train;train
545;COMMAND;PLUS_ONE;test;train;test
546;COMMAND;MINUS_ONE;test;valid;train
547;COMMAND;MINUS_ONE;test;train;train
548;COMMAND;EMPTY;train;train;test
549;COMMAND;EMPTY;train;train;train
550;COMMAND;PLUS_ONE;test;valid;test
551;COMMAND;MINUS_ONE;test;train;train
552;COMMAND;MINUS_ONE;test;train;test
553;COMMAND;TURN_RIGHT;test;train;test
554;COMMAND;MINUS_ONE;test;valid;test
555;COMMAND;TURN_RIGHT;test;train;train
556;COMMAND;MINUS_ONE;test;valid;train
557;COMMAND;EMPTY;train;train;test
558;COMMAND;EMPTY;train;train;train
559;COMMAND;EMPTY;train;valid;valid
560;COMMAND;EMPTY;train;valid;valid
561;COMMAND;EMPTY;train;train;test
562;COMMAND;PLUS_ONE;test;train;test
563;COMMAND;MINUS_ONE;test;train;test
564;COMMAND;MINUS_ONE;test;train;train
565;COMMAND;TURN_LEFT;test;train;train
566;COMMAND;MINUS_ONE;test;train;train
567;COMMAND;TURN_LEFT;test;train;valid
568;COMMAND;MINUS_ONE;test;train;train
569;COMMAND;EMPTY;train;train;test
570;COMMAND;EMPTY;train;train;test
571;COMMAND;EMPTY;train;valid;test
572;COMMAND;EMPTY;valid;train;test
573;COMMAND;EMPTY;train;train;test
574;COMMAND;EMPTY;train;valid;test
575;COMMAND;EMPTY;train;train;test
576;ORIENTATION;EMPTY;valid;train;train
577;ORIENTATION;EMPTY;train;train;test
578;ORIENTATION;ARROW_UP;test;valid;train
579;ORIENTATION;EMPTY;valid;train;test
580;ORIENTATION;EMPTY;train;train;test
581;ORIENTATION;EMPTY;train;train;test
582;ORIENTATION;EMPTY;valid;train;test
583;ORIENTATION;EMPTY;train;train;test
584;ORIENTATION;EMPTY;train;valid;test
585;ORIENTATION;EMPTY;train;valid;test
586;ORIENTATION;EMPTY;train;train;test
587;ORIENTATION;EMPTY;valid;train;test
588;ORIENTATION;EMPTY;train;train;test
589;ORIENTATION;EMPTY;train;train;test
590;ORIENTATION;ARROW_UP;test;train;train
591;ORIENTATION;EMPTY;valid;train;test
592;ORIENTATION;EMPTY;train;train;test
593;ORIENTATION;EMPTY;train;train;test
594;ORIENTATION;EMPTY;train;train;test
595;ORIENTATION;EMPTY;train;train;test
596;ORIENTATION;EMPTY;train;train;test
597;ORIENTATION;EMPTY;train;train;test
598;ORIENTATION;EMPTY;train;train;test
599;ORIENTATION;EMPTY;train;train;test
600;ORIENTATION;EMPTY;train;train;train
601;ORIENTATION;EMPTY;valid;train;test
602;ORIENTATION;EMPTY;train;train;test
603;ORIENTATION;ARROW_DOWN;test;train;test
604;ORIENTATION;EMPTY;train;train;test
605;ORIENTATION;EMPTY;train;train;test
606;ORIENTATION;EMPTY;valid;train;test
607;ORIENTATION;EMPTY;train;train;test
608;ORIENTATION;EMPTY;train;valid;test
609;ORIENTATION;EMPTY;train;train;test
610;ORIENTATION;EMPTY;valid;train;test
611;ORIENTATION;EMPTY;train;valid;test
612;ORIENTATION;EMPTY;train;train;test
613;ORIENTATION;EMPTY;valid;train;test
614;ORIENTATION;EMPTY;valid;train;test
615;ORIENTATION;EMPTY;valid;valid;test
616;ORIENTATION;EMPTY;valid;train;test
617;ORIENTATION;EMPTY;valid;train;train
618;ORIENTATION;EMPTY;valid;train;test
619;ORIENTATION;EMPTY;train;train;test
620;ORIENTATION;EMPTY;train;train;train
621;ORIENTATION;EMPTY;train;train;test
622;ORIENTATION;EMPTY;train;valid;test
623;ORIENTATION;EMPTY;valid;train;test
624;ORIENTATION;EMPTY;valid;valid;test
625;ORIENTATION;EMPTY;train;train;test
626;ORIENTATION;EMPTY;train;train;test
627;ORIENTATION;EMPTY;train;train;test
628;ORIENTATION;ARROW_LEFT;test;train;train
629;ORIENTATION;EMPTY;valid;train;test
630;ORIENTATION;EMPTY;train;train;test
631;ORIENTATION;EMPTY;train;train;test
632;ORIENTATION;EMPTY;train;valid;train
